variable,label,record_type,group,group_label,url,description,n_countries,n_samples
GEO2_MM2014,"Myanmar, District 2014 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MM2014,"GEO2_MM2014 identifies the household's district within Myanmar in 2014. Districts are the second level administrative units of the country, after states. A GIS map (in shapefile format), corresponding to GEO2_MM2014 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Myanmar can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MN,"Mongolia, District 2000 -2020 [Level 2; consistent boundaries, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MN,"GEO2_MN identifies the household's district within Mongolia in sample years 2000, 2010, and 2020. Districts are the second level administrative units of the country, after provinces. GEO2_MN is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO2_MN can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mongolia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,3
GEO2_MN2000,"Mongolia, District 2000 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MN2000,"GEO2_MN2000 identifies the household's district within Mongolia in 2000. Districts are the second level administrative units of the country, after provinces. A GIS map (in shapefile format), corresponding to GEO2_MN2000 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mongolia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MN2010,"Mongolia, District 2010 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MN2010,"GEO2_MN2010 identifies the household's district within Mongolia in 2010. Districts are the second level administrative units of the country, after provinces. A GIS map (in shapefile format), corresponding to GEO2_MN2010 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mongolia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MN2020,"Mongolia, District 2020 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MN2020,"GEO2_MN2020 identifies the household's district within Mongolia in 2020. Districts are the second level administrative units of the country, after provinces. A GIS map (in shapefile format), corresponding to GEO2_MN2020 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mongolia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MU,"Mauritius, Municipal Ward/Village Council Areas (MVCA) 1990 - 2011 [Level 2; consistent boundaries, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MU,"GEO2_MU2011 identifies the household's Municipal Ward/Village Council Area (MVCA) within Mauritius in in all sample years. MVCAâs are the second level administrative units of the country, after districts. Â GEO2_MU is spatially harmonized accounting for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO2_MU can be downloadedÂ from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mauritius can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,3
GEO2_MU1990,"Mauritius, Municipal Ward/Village Council Areas (MVCA) 1990 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MU1990,"GEO2_MU1990 identifies the household's Municipal Ward/Village Council Area (MVCA) within Mauritius in 1990. MVCAâs are the second level administrative units of the country, after districts. A GIS map (in shapefile format), corresponding to GEO2_MU1990 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mauritius can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MU2000,"Mauritius, Municipal Ward/Village Council Areas (MVCA) 2000 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MU2000,"GEO2_MU2000 identifies the household's Municipal Ward/Village Council Area (MVCA) within Mauritius in 2000. MVCAâs are the second level administrative units of the country, after districts. A GIS map (in shapefile format), corresponding to GEO2_MU2000 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mauritius can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MU2011,"Mauritius, Municipal Ward/Village Council Areas (MVCA) 2011 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MU2011,"GEO2_MU2011 identifies the household's Municipal Ward/Village Council Area (MVCA) within Mauritius in 2011. MVCAâs are the second level administrative units of the country, after districts. A GIS map (in shapefile format), corresponding to GEO2_MU2011 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mauritius can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MW,"Malawi, Traditional Authority 1987 - 2018 [Level 2; consistent boundaries, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MW,"GEO2_MW identifies the household's Traditional Authority (TA) within Malawi in all sample years. Traditional Authorities (TAs) are the second level administrative units of the country, after districts. GEO2_MW is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO2_MW can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Malawi can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,4
