variable,label,record_type,group,group_label,url,description,n_countries,n_samples
GEO2_KH2008,"Cambodia, District 2008 [Level 2, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO2_KH2008,"GEO2_KH2008 identifies the household's district within Cambodia in 2008. Districts are the second level administrative units of the country, after provinces. A GIS map (in shapefile format), corresponding to GEO2_KH2008 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Cambodia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_KH2013,"Cambodia, District 2013 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO2_KH2013,"GEO2_KH2013 identifies the household's district within Cambodia in 2013. Districts are the second level administrative units of the country, after provinces. A GIS map (in shapefile format), corresponding to GEO2_KH2013 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Cambodia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_KH2019,"Cambodia, District 2019 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO2_KH2019,"GEO2_KH2019 identifies the household's district within Cambodia in 2019. Districts are the second level administrative units of the country, after provinces. A GIS map (in shapefile format), corresponding to GEO2_KH2019 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Cambodia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_LA,"Lao People's Democratic Republic, District 1995 - 2015 [Level 2; consistent boundaries, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_LA,"GEO2_LA identifies the household's district within the Lao People's Democratic Republic in all sample years. Districts are the second level administrative units of the country. GEO2_LA is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO2_LA can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for the Lao People's Democratic Republic can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,2
GEO2_LA1995,"Lao People's Democratic Republic, District 1995 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_LA1995,"GEO2_LA1995 identifies the household's district within the Lao People's Democratic Republic in 1995. Districts are the second level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO2_LA1995 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for the Lao People's Democratic Republic can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_LA2015,"Lao People's Democratic Republic, District 2015 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_LA2015,"GEO2_LA2015 identifies the household's district within the Lao People's Democratic Republic in 2015. Districts are the second level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO2_LA2005 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for the Lao People's Democratic Republic can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_LR,"Liberia, District 1974 [Level 2; consistent boundaries, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_LR,"GEO2_LR identifies the household's district within Liberia in 1974. Districts are the second level administrative units of the country, after counties. A GIS map (in shapefile format), corresponding to GEO2_LR can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Liberia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_LR1974,"Liberia, District 1974 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_LR1974,"GEO2_LR1974 identifies the household's district within Liberia in 1974. Districts are the second level administrative units of the country, after counties. A GIS map (in shapefile format), corresponding to GEO2_LR1974 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Liberia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_LS,"Lesotho, Constituency 2006 [Level 2; consistent boundaries, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_LS,"GEO2_LS identifies the household's constituency within Lesotho in 2006. Constituencies are the second level administrative units of the country, after districts. A GIS map (in shapefile format), corresponding to GEO2_LS can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Lesotho can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_LS1996,"Lesotho, Constituency 1996 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_LS1996,"GEO2_LS1996 identifies the constituency within Lesotho in 1996. Constituencies are the second level administrative units of the country, after districts. A GIS map (in shapefile format), corresponding to GEO2_LS1996 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Lesotho can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_LS2006,"Lesotho, Constituency 2006 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_LS2006,"GEO2_LS2006 identifies the constituency within Lesotho in 2006. Constituencies are the second level administrative units of the country, after districts. A GIS map (in shapefile format), corresponding to GEO2_LS2006 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Lesotho can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MA,"Morocco, Province 2014 [Level 2; consistent boundaries, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MA,"GEO2_MA identifies the household's province within Morocco in 2014. Provinces are the second level administrative units of the country, after regions. GEO2_MA is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO2_MA can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Morocco can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MA1982,"Morocco, Province 1982 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MA1982,"GEO2_MA1982 identifies the household's province within Morocco in 1982. Provinces are the second level administrative units of the country, after regions. A GIS map (in shapefile format), corresponding to GEO2_MA1982 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Morocco can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MA1994,"Morocco, Province 1994 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MA1994,"GEO2_MA1994 identifies the household's province within Morocco in 1994. Provinces are the second level administrative units of the country, after regions. A GIS map (in shapefile format), corresponding to GEO2_MA1994 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Morocco can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MA2004,"Morocco, Province 2004 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MA2004,"GEO2_MA2004 identifies the household's province within Morocco in 2004. Provinces are the second level administrative units of the country, after regions. A GIS map (in shapefile format), corresponding to GEO2_MA2004 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Morocco can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MA2014,"Morocco, Province 2014 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MA2014,"GEO2_MA2014 identifies the household's province within Morocco in 2014. Provinces are the second level administrative units of the country, after regions. A GIS map (in shapefile format), corresponding to GEO2_MA2014 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Morocco can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_ML,"Mali, Circle 1987 - 2009 [Level 2; consistent boundaries, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_ML,"GEO2_ML identifies the householdâs circle ( cercle ) within Mali in all sample years. Circles are the second level administrative units of the country, after regions. GEO2_ML is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO2_ML can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mali can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,3
GEO2_ML1987,"Mali, Circle 1987 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_ML1987,"GEO2_ ML1987 identifies the household's circle within Mali in 1987. Circles are the second level administrative units of the country, after regions. A GIS map (in shapefile format), corresponding to GEO2_ ML1987 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mali can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_ML1998,"Mali, Circle 1998 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_ML1998,"GEO2_ ML1998 identifies the household's circle within Mali in 1998. Circles are the second level administrative units of the country, after regions. A GIS map (in shapefile format), corresponding to GEO2_ ML1998 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mali can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_ML2009,"Mali, Circle 2009 [Level 2, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_ML2009,"GEO2_ ML2009 identifies the household's circle within Mali in 2009. Circles are the second level administrative units of the country, after regions. A GIS map (in shapefile format), corresponding to GEO2_ ML2009 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Mali can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO2_MM,"Myanmar, District 2014 [Level 2; consistent boundaries, GIS]",H,h-geog2,Geography: F-N,https://international.ipums.org/international-action/variables/GEO2_MM,"GEO2_MM identifies the household's district within Myanmar in all sample years. Districts are the second level administrative units of the country, after states. GEO2_MM is spatially harmonized accounting for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO2_MM can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Myanmar can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
